Product Name,Product Link,Product Image,Current Price,Original Price
"Great Value Sweet Peas, 32 oz Bag (Frozen)",https://www.walmart.com/ip/Great-Value-Sweet-Peas-32-oz-Bag-Frozen/712949094,https://i5.walmartimages.com/asr/44272457-5c93-48c8-a673-749880e5667c.1dcb35c5d672df13f83ba041c3f77239.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,2.28,
"Caulipower Cauliflower Buffalo Sauce Chicken Pizza, Frozen, 10.9 oz",https://www.walmart.com/ip/Caulipower-Cauliflower-Buffalo-Sauce-Chicken-Pizza-Frozen-10-9-oz/823075302,https://i5.walmartimages.com/asr/e1e954fc-0b96-4e3c-9837-8e1e1e204ae2.458220a1055a56f7146383b3364fe858.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,6.98,
"Kraft Deluxe Original Mac N Cheese Macaroni and Cheese Cups Easy Microwavable Dinner, 4 ct Pack, 2.39 oz Cups",https://www.walmart.com/ip/Kraft-Deluxe-Original-Mac-N-Cheese-Macaroni-and-Cheese-Cups-Easy-Microwavable-Dinner-4-ct-Pack-2-39-oz-Cups/172414450?athbdg=L1300,https://i5.walmartimages.com/asr/a6ebf757-0e41-43f8-ac43-e0f32f2b54ca.6fa5eae63274e4f313eb550f1c36c2ed.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.42,4.92
"Great Value Fully Cooked Southern Style Chicken Breast Fillet, Whole, 32 oz (Frozen)",https://www.walmart.com/ip/Great-Value-Fully-Cooked-Southern-Style-Chicken-Breast-Fillet-Whole-32-oz-Frozen/756616069,https://i5.walmartimages.com/asr/3114f531-602c-49ab-aa16-1f1670b70171.d79ee3cfd326cc8d5630fcde72378aad.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12.48,
Pagoda Crunchy White Meat Chicken Egg Rolls,https://www.walmart.com/ip/Pagoda-Crunchy-White-Meat-Chicken-Egg-Rolls/400582567,https://i5.walmartimages.com/asr/766f10ce-506b-4991-b0ee-8a948ba75c54.42aa34a4c5486cc04e382537ae2ec96e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,7.24,
"Stouffer's Lasagna Italiano Party Size Frozen Frozen Meal, 90 oz (Frozen)",https://www.walmart.com/ip/Stouffer-s-Lasagna-Italiano-Party-Size-Frozen-Frozen-Meal-90-oz-Frozen/10804842,https://i5.walmartimages.com/asr/3d377646-cce1-448c-81a1-ca017699f793.6f15c851c138cc874b07e32604e3bea8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,16.48,
"Foster Farms Fully Cooked Orange Chicken Fritters (White Meat) - Frozen, 24 oz (1.5 lb) Bag",https://www.walmart.com/ip/Foster-Farms-Fully-Cooked-Orange-Chicken-Fritters-White-Meat-Frozen-24-oz-1-5-lb-Bag/11027828,https://i5.walmartimages.com/asr/d8a0fc8d-fb1e-41f8-ae4e-0a343eed7212.aab893ee03ddf47f9c333beba8c1f392.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,7.98,
"Banquet Mega Meals Boneless Fried Chicken Frozen Meal, 12 oz (Frozen)",https://www.walmart.com/ip/Banquet-Mega-Meals-Boneless-Fried-Chicken-Frozen-Meal-12-oz-Frozen/47456196,https://i5.walmartimages.com/asr/3a7946e9-2351-49d6-82c9-5637d2b63567.55513a5534a23a4000d2a25445690f6c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.12,
"Banquet Chicken Fried Chicken Frozen Meal, 10.1 oz (Frozen)",https://www.walmart.com/ip/Banquet-Chicken-Fried-Chicken-Frozen-Meal-10-1-oz-Frozen/10794568,https://i5.walmartimages.com/asr/d333ce58-70a3-4fdd-83dc-5343044ada95.b55b450ed4156ae732001ec2d3b58602.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,1.68,
"Great Value Sugar Snap Pea Stir-Fry, 20 oz (Frozen)",https://www.walmart.com/ip/Great-Value-Sugar-Snap-Pea-Stir-Fry-20-oz-Frozen/702071761,https://i5.walmartimages.com/asr/5ed07e21-9d35-409d-bf0e-9900b0018cfa.64591685aea4b5e826092cb12f8779fb.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,2.48,
